time / s,Au / M,Au(I)Cl2- / M,Au(II)Cl4^2- / M,Au(III)Cl4- / M,Au2Cl6^2- / M,Cl / M,Cl- / M,Cl2 / M,Cl2- / M,Cl2O / M,Cl2O2 / M,Cl2O3 / M,Cl2O4 / M,Cl3- / M,ClO / M,ClO- / M,ClO2 / M,ClO2- / M,ClO3 / M,ClO3- / M,ClOH- / M,H / M,H+ / M,H2 / M,H2O / M,H2O2 / M,HCl / M,HClO / M,HClO2 / M,HO2 / M,HO2- / M,HO3 / M,O / M,O- / M,O2 / M,O2- / M,O3 / M,O3- / M,O4 / M,OH / M,OH- / M,eh- / M
9.564084981991268e-09,4.7981229007843115e-28,3.5651854462123826e-22,8.156768327684174e-08,0.019999918432312604,2.064651334264622e-15,2.5723398839151167e-22,4.1293026941742786e-15,3.892108554831542e-45,1.7538624134897362e-35,8.9070840898052e-188,1.3119727662398895e-88,6.436194123017231e-145,8.466040077726528e-173,7.745273191711979e-65,4.084270030908508e-45,1.0231681448731248e-40,6.674105123553906e-101,2.7204955378941668e-92,9.95434519984498e-129,1.0786179580213788e-96,4.300703511205302e-22,9.65955857923332e-08,0.020000112877249534,8.17185600752296e-09,55.55999987440864,2.2251917281611528e-08,8.963557024990815e-26,2.374189871141109e-39,8.997288187890473e-93,7.349652508990247e-09,1.916358798890438e-15,2.5308454678257323e-27,1.0606352173801368e-19,4.737453495367884e-16,0.0002549962870558645,1.5071158591540314e-10,3.454920108101301e-22,2.2736101512702864e-19,1.2847681208298658e-178,1.7185617369050935e-07,1.656505053985359e-09,2.950234308836008e-08
9.687397906695207e-09,5.259357032471743e-28,3.8272250678167384e-22,8.334640324502956e-08,0.01999991665359239,2.1862246345756522e-15,2.7999071645260914e-22,4.37244929271376e-15,4.674767098781429e-45,2.0494375452089582e-35,1.4557825853119312e-187,1.6571411818989863e-88,9.448858544545382e-145,1.308678709584166e-172,9.986394549644091e-65,4.559783507901075e-45,1.1033864273872646e-40,8.660242395425543e-101,3.474000879442615e-92,1.3601515677437973e-128,1.3805894957410605e-96,4.617977228162971e-22,9.745119980435706e-08,0.020000114664097457,8.277956523564456e-09,55.55999987152137,2.2538828637845623e-08,9.622280852900917e-26,2.5821413754110446e-39,1.1594985325801833e-92,7.479921298310422e-09,1.938386122086004e-15,2.691113616019606e-27,1.088116473441742e-19,4.799431046397421e-16,0.00025499620536029654,1.5096925301126116e-10,3.5901734506698583e-22,2.3052181306667594e-19,2.012347662773439e-178,1.7407193837469494e-07,1.6565257794155747e-09,2.9510192377311818e-08
9.810710831399146e-09,5.757602057933856e-28,4.104582666930127e-22,8.513717231188662e-08,0.01999991486282307,2.313117653800909e-15,3.0440921598013604e-22,4.626235328630747e-15,5.600925445241185e-45,2.38976394518027e-35,2.3640802574162334e-187,2.0867088438561655e-88,1.380180623204614e-144,2.0114421394059857e-172,1.2831812284101217e-64,5.08326998430872e-45,1.1886215061643668e-40,1.1198724507545902e-100,4.422010767220418e-92,1.8509184262444413e-128,1.7614009745575845e-96,4.953774961365359e-22,9.829473467987038e-08,0.020000116462441358,8.384062618913575e-09,55.5599998686341,2.2825740377036916e-08,1.0319503293825166e-25,2.805144537605029e-39,1.4892617588292228e-92,7.610760758192976e-09,1.960429516103487e-15,2.8590737476950957e-27,1.1159480498305621e-19,4.861408048708866e-16,0.0002549961230992682,1.5122165721635334e-10,3.728908605586393e-22,2.336825746570861e-19,3.133549642822935e-178,1.7628770185945958e-07,1.656545822308444e-09,2.9517494482642984e-08
9.894131821250933e-09,6.116853634047149e-28,4.301236969765132e-22,8.635536812681332e-08,0.019999913644627075,2.4020534324648012e-15,3.2191900077851635e-22,4.804106883967403e-15,6.32076962245025e-45,2.6483934577473e-35,3.270183499154303e-187,2.43469645902667e-88,1.7784834233411772e-144,2.6818420704445256e-172,1.5174721753234699e-64,5.466679701526661e-45,1.2492457381459815e-40,1.3300647895668928e-100,5.1968626867239294e-92,2.2746953595589527e-128,2.0732551715341505e-96,5.191849002002378e-22,9.885860914704207e-08,0.020000117685467358,8.455846312895604e-09,55.55999986668087,2.30198359142131e-08,1.0813848645046732e-25,2.964976268959203e-39,1.7607707581332343e-92,7.699592669318399e-09,1.975352344360498e-15,2.9771868016606423e-27,1.1349747008412821e-19,4.903335099367611e-16,0.00025499606713333547,1.513896283303056e-10,3.8247594655147827e-22,2.35820804536196e-19,4.214588665613428e-178,1.7778666151061318e-07,1.6565590126033384e-09,2.952214331023912e-08
9.97755281110272e-09,6.494899563980362e-28,4.505416478624752e-22,8.757894364848079e-08,0.01999991242105137,2.4935398369712067e-15,3.4026383915399763e-22,4.98707969074951e-15,7.125400687571574e-45,2.932293496428593e-35,4.5110992129837546e-187,2.836904279893643e-88,2.286708084218972e-144,3.566889626967897e-172,1.7918473432051106e-64,5.875264972540359e-45,1.3123468432238782e-40,1.57733997268159e-100,6.098934995898273e-92,2.790518527386449e-128,2.436878111406193e-96,5.439016861130475e-22,9.94170682290292e-08,0.02000011891364869,8.527632458591217e-09,55.55999986472764,2.3213931630318638e-08,1.1327106591735831e-25,3.132366859952936e-39,2.0787282909191102e-92,7.788679148859395e-09,1.9902845754960015e-15,3.0990129537252293e-27,1.1541616425159172e-19,4.94526192038193e-16,0.00025499601091491644,1.5155549290649356e-10,3.922237610458675e-22,2.379590187429184e-19,5.654316120945181e-178,1.7928562060417058e-07,1.656571917702782e-09,2.9526570148279704e-08
1.0060973800954508e-08,6.8925318033830245e-28,4.717335892364275e-22,8.880784552342689e-08,0.019999911192149306,2.587624342752132e-15,3.5947532169782265e-22,5.175248699826801e-15,8.023892616871641e-45,3.2436672335133236e-35,6.205523755634999e-187,3.3011806693821094e-88,2.933743686471566e-144,4.7322951126850736e-172,2.11269701290485e-64,6.310434058494523e-45,1.3780004323867011e-40,1.8678007062784908e-100,7.14769526399191e-92,3.4172764208628893e-128,2.860284559189958e-96,5.695534775864865e-22,9.997015732593665e-08,0.02000012014694265,8.599421016987496e-09,55.559999862774404,2.340802752683191e-08,1.1859816524090865e-25,3.307600372706648e-39,2.4505501753422673e-92,7.878017587506732e-09,2.0052269575557182e-15,3.2246315334054372e-27,1.1735088613653812e-19,4.987188522200623e-16,0.00025499595444650826,1.5171936289985122e-10,4.0213566908236824e-22,2.4009721766218304e-19,7.566627468709756e-178,1.807845791366451e-07,1.656584547749833e-09,2.9530785524369576e-08
1.0144394790806296e-08,7.310567803505044e-28,4.937213939324224e-22,9.004202093499707e-08,0.0199999099579737,2.684354791959583e-15,3.7958592695998273e-22,5.3687095954884024e-15,9.026206022477208e-45,3.584889247155108e-35,8.513005182856488e-187,3.8364388575605064e-88,3.755778063204299e-144,6.263243742231226e-172,2.4873693020389183e-64,6.773661276508053e-45,1.4462836336175586e-40,2.2085226935381845e-100,8.365408801607322e-92,4.17754549113881e-128,3.352656582403219e-96,5.961664225702883e-22,1.0051792178032687e-07,0.020000121385306553,8.671211950161324e-09,55.55999986082117,2.3602123605230046e-08,1.2412527947729236e-25,3.4909688636663667e-39,2.8847694406583713e-92,7.967605406065117e-09,2.0201801963992858e-15,3.3541227358517425e-27,1.1930163439030022e-19,5.029114917040537e-16,0.00025499589773058344,1.5188134492459746e-10,4.1221303558287668e-22,2.422354016581111e-19,1.0100464193667503e-177,1.8228353710455945e-07,1.65659691244559e-09,2.9534799459906298e-08
1.0299215991357433e-08,8.143363530388541e-28,5.367138852613669e-22,9.234632763282827e-08,0.01999990765366663,2.871053570229651e-15,4.194063246962708e-22,5.742107146153653e-15,1.1199420532211555e-44,4.3060995604806977e-35,1.5201801201049833e-186,5.05326105286904e-88,5.90723743286173e-144,1.0471434822099664e-171,3.3549273490415276e-64,7.713022022688087e-45,1.5802482362477687e-40,3.002638349868951e-100,1.1162146529955463e-91,6.037707012697421e-128,4.485999259894023e-96,6.481954181460585e-22,1.0152056213420884e-07,0.020000123696879764,8.804455071102225e-09,55.55999985719617,2.3962347435745046e-08,1.349322553342262e-25,3.853869134221728e-39,3.890333535581251e-92,8.134523861236922e-09,2.0479629580422765e-15,3.604985339441577e-27,1.229644999022986e-19,5.106925686433759e-16,0.0002549957918237433,1.521773074427395e-10,4.31358778937835e-22,2.4620362398848065e-19,1.7153874532907e-177,1.8506545502215026e-07,1.656619188276081e-09,2.954174732739016e-08
1.045403719190857e-08,9.054989140514106e-28,5.82670673455013e-22,9.466828900588963e-08,0.019999905331704863,3.0673435576133092e-15,4.626609003870921e-22,6.13468711396324e-15,1.3848028800997763e-44,5.15718465039549e-35,2.689768048510798e-186,6.627545549583241e-88,9.225184308549224e-144,1.7366030347527524e-171,4.503404855100188e-64,8.764887081346524e-45,1.7240585814407068e-40,4.062674507457453e-100,1.4827247223528938e-91,8.676251884925966e-128,5.975380784876991e-96,7.038009604028974e-22,1.0250530674816533e-07,0.020000126025497042,8.93770601827308e-09,55.55999985357116,2.432257190724567e-08,1.4648419101380918e-25,4.247821429800807e-39,5.22183743765357e-92,8.302276469162372e-09,2.0757892896854933e-15,3.869992235648855e-27,1.2668255294544627e-19,5.184735818543136e-16,0.0002549956850882135,1.5246772051838212e-10,4.510878471306491e-22,2.5017179919328184e-19,2.889134376597623e-177,1.8784737096115679e-07,1.656640637668844e-09,2.95480909426118e-08
1.0608858392459707e-08,1.0051402886179476e-27,6.317427514306478e-22,9.70075816170379e-08,0.01999990299241184,3.273540308352804e-15,5.095826541412461e-22,6.54708060729039e-15,1.7066016238926742e-44,6.158888450429379e-35,4.718568574091704e-186,8.656425312615633e-88,1.430960527474826e-143,2.8582340600123544e-171,6.017178246739565e-64,9.940661967111484e-45,1.8782497539159617e-40,5.471865448813583e-100,1.9610876115043122e-91,1.2399592867864942e-127,7.924681684450591e-96,7.631632652039613e-22,1.0347244262910998e-07,0.020000128370887563,9.070964575821523e-09,55.559999849946166,2.4682797029140552e-08,1.5881901774237035e-25,4.674920446908616e-39,6.977530155075991e-92,8.470847526577564e-09,2.103662679717398e-15,4.149679459861421e-27,1.304557849050456e-19,5.262545370303769e-16,0.000254995577539143,1.5275313761811088e-10,4.714089620924905e-22,2.541399298684954e-19,4.828326703456263e-177,1.9062928489959746e-07,1.656661312026219e-09,2.9553882310419576e-08
